"Time (ms)","Angle 1"
"0","-2.377167"
"8","-2.375051"
"17","-2.373015"
"25","-2.371382"
"33","-2.370524"
"42","-2.370693"
"50","-2.372002"
"58","-2.374495"
"67","-2.378077"
"75","-2.382462"
"83","-2.387213"
"92","-2.391855"
"100","-2.396028"
"108","-2.399638"
"117","-2.402924"
"125","-2.406389"
"133","-2.410584"
"142","-2.415853"
"150","-2.422231"
"158","-2.429504"
"167","-2.437356"
"175","-2.445421"
"184","-2.453272"
"192","-2.460521"
"200","-2.467004"
"209","-2.472835"
"217","-2.478377"
"225","-2.484127"
"234","-2.490512"
"242","-2.497775"
"250","-2.505981"
"259","-2.51499"
"267","-2.524451"
"275","-2.533954"
"284","-2.543218"
"292","-2.552182"
"300","-2.560956"
"309","-2.569724"
"317","-2.578638"
"325","-2.58774"
"334","-2.597005"
"342","-2.606402"
"350","-2.615872"
"359","-2.625337"
"367","-2.634796"
"375","-2.644325"
"384","-2.653933"
"392","-2.663554"
"400","-2.673199"
"409","-2.682901"
"417","-2.692537"
"425","-2.701912"
"434","-2.710963"
"442","-2.719769"
"450","-2.728431"
"459","-2.737012"
"467","-2.745575"
"475","-2.754257"
"484","-2.763275"
"492","-2.772773"
"500","-2.782608"
"509","-2.792315"
"517","-2.801334"
"526","-2.80934"
"534","-2.816325"
"542","-2.822397"
"551","-2.827622"
"559","-2.832064"
"567","-2.835877"
"576","-2.839306"
"584","-2.84256"
"592","-2.84576"
"601","-2.848982"
"609","-2.852276"
"617","-2.855597"
"626","-2.858805"
"634","-2.861819"
"642","-2.864664"
"651","-2.867366"
"659","-2.869928"
"667","-2.872391"
"676","-2.874858"
"684","-2.877491"
"692","-2.880431"
"701","-2.883732"
"709","-2.88738"
"717","-2.891354"
"726","-2.89566"
"734","-2.900315"
"742","-2.905325"
"751","-2.910661"
"759","-2.916257"
"767","-2.922025"
"776","-2.927794"
"784","-2.933298"
"792","-2.938354"
"801","-2.943046"
"809","-2.947638"
"817","-2.952342"
"826","-2.957179"
"834","-2.961977"
"843","-2.966491"
"851","-2.970508"
"859","-2.973911"
"868","-2.976625"
"876","-2.978489"
"884","-2.979275"
"893","-2.978979"
"901","-2.977975"
"909","-2.976676"
"918","-2.9751"
"926","-2.972793"
"934","-2.969135"
"943","-2.963722"
"951","-2.956524"
"959","-2.947767"
"968","-2.937744"
"976","-2.92672"
"984","-2.91494"
"993","-2.902637"
"1001","-2.889993"
"1009","-2.877044"
"1018","-2.863683"
"1026","-2.849823"
"1034","-2.835574"
"1043","-2.821274"
"1051","-2.807299"
"1059","-2.793805"
"1068","-2.780653"
"1076","-2.767529"
"1084","-2.754102"
"1093","-2.740092"
"1101","-2.725312"
"1109","-2.709736"
"1118","-2.693527"
"1126","-2.676956"
"1134","-2.660285"
"1143","-2.643663"
"1151","-2.627158"
"1159","-2.610741"
"1168","-2.594215"
"1176","-2.577303"
"1185","-2.559844"
"1193","-2.541842"
"1201","-2.523429"
"1210","-2.504788"
"1218","-2.486149"
"1226","-2.467807"
"1235","-2.450009"
"1243","-2.432721"
"1251","-2.415691"
"1260","-2.398753"
"1268","-2.382014"
"1276","-2.365816"
"1285","-2.350585"
"1293","-2.336682"
"1301","-2.324359"
"1310","-2.313701"
"1318","-2.304516"
"1326","-2.296391"
"1335","-2.289015"
"1343","-2.28238"
"1351","-2.276762"
"1360","-2.272679"
"1368","-2.270578"
"1376","-2.270454"
"1385","-2.271884"
"1393","-2.274343"
"1401","-2.27754"
"1410","-2.281604"
"1418","-2.286922"
"1426","-2.293723"
"1435","-2.301831"
"1443","-2.31085"
"1451","-2.320539"
"1460","-2.330858"
"1468","-2.34184"
"1476","-2.353483"
"1485","-2.365657"
"1493","-2.378091"
"1502","-2.3906"
