Time (ms),Angle 1,,
0,2.253581,3.141592654,0.888011654
8,2.245734,3.141592654,0.895858654
17,2.23751,3.141592654,0.904082654
25,2.230124,3.141592654,0.911468654
33,2.22526,3.141592654,0.916332654
42,2.223203,3.141592654,0.918389654
50,2.222763,3.141592654,0.918829654
58,2.222604,3.141592654,0.918988654
67,2.222295,3.141592654,0.919297654
75,2.222231,3.141592654,0.919361654
83,2.222892,3.141592654,0.918700654
92,2.224379,3.141592654,0.917213654
100,2.226473,3.141592654,0.915119654
108,2.228784,3.141592654,0.912808654
117,2.230873,3.141592654,0.910719654
125,2.232471,3.141592654,0.909121654
133,2.233671,3.141592654,0.907921654
142,2.234927,3.141592654,0.906665654
150,2.236777,3.141592654,0.904815654
158,2.239533,3.141592654,0.902059654
167,2.243232,3.141592654,0.898360654
175,2.24777,3.141592654,0.893822654
184,2.253046,3.141592654,0.888546654
192,2.259001,3.141592654,0.882591654
200,2.265585,3.141592654,0.876007654
209,2.272721,3.141592654,0.868871654
217,2.280321,3.141592654,0.861271654
225,2.288348,3.141592654,0.853244654
234,2.296788,3.141592654,0.844804654
242,2.305573,3.141592654,0.836019654
250,2.314613,3.141592654,0.826979654
259,2.323899,3.141592654,0.817693654
267,2.333503,3.141592654,0.808089654
275,2.343527,3.141592654,0.798065654
284,2.354027,3.141592654,0.787565654
292,2.364979,3.141592654,0.776613654
300,2.376321,3.141592654,0.765271654
309,2.388027,3.141592654,0.753565654
317,2.400118,3.141592654,0.741474654
325,2.412615,3.141592654,0.728977654
334,2.425493,3.141592654,0.716099654
342,2.438699,3.141592654,0.702893654
350,2.452202,3.141592654,0.689390654
359,2.46602,3.141592654,0.675572654
367,2.480198,3.141592654,0.661394654
375,2.494713,3.141592654,0.646879654
384,2.509372,3.141592654,0.632220654
392,2.523901,3.141592654,0.617691654
400,2.538139,3.141592654,0.603453654
409,2.552112,3.141592654,0.589480654
417,2.565953,3.141592654,0.575639654
425,2.579791,3.141592654,0.561801654
434,2.593659,3.141592654,0.547933654
442,2.607534,3.141592654,0.534058654
450,2.621456,3.141592654,0.520136654
459,2.635512,3.141592654,0.506080654
467,2.649734,3.141592654,0.491858654
475,2.664079,3.141592654,0.477513654
484,2.678439,3.141592654,0.463153654
492,2.692635,3.141592654,0.448957654
500,2.706463,3.141592654,0.435129654
509,2.719796,3.141592654,0.421796654
517,2.732623,3.141592654,0.408969654
526,2.744967,3.141592654,0.396625654
534,2.756763,3.141592654,0.384829654
542,2.767847,3.141592654,0.373745654
551,2.778089,3.141592654,0.363503654
559,2.7875,3.141592654,0.354092654
567,2.796218,3.141592654,0.345374654
576,2.804451,3.141592654,0.337141654
584,2.812376,3.141592654,0.329216654
592,2.820029,3.141592654,0.321563654
601,2.827301,3.141592654,0.314291654
609,2.833999,3.141592654,0.307593654
617,2.839893,3.141592654,0.301699654
626,2.844753,3.141592654,0.296839654
634,2.848446,3.141592654,0.293146654
642,2.851028,3.141592654,0.290564654
651,2.852756,3.141592654,0.288836654
659,2.853982,3.141592654,0.287610654
667,2.854968,3.141592654,0.286624654
