"Time (ms)","Angle 1"
"0","2.259356"
"8","2.266168"
"17","2.27221"
"25","2.27709"
"33","2.28071"
"42","2.283241"
"50","2.285078"
"58","2.286779"
"67","2.28901"
"75","2.292449"
"83","2.297667"
"92","2.305018"
"100","2.314559"
"108","2.326024"
"117","2.338925"
"125","2.352745"
"133","2.367049"
"142","2.381492"
"150","2.395836"
"158","2.409985"
"167","2.424002"
"175","2.4381"
"184","2.452563"
"192","2.467598"
"200","2.483236"
"209","2.499383"
"217","2.515951"
"225","2.532861"
"234","2.549962"
"242","2.567079"
"250","2.584128"
"259","2.601162"
"267","2.618326"
"275","2.635789"
"284","2.653676"
"292","2.672044"
"300","2.690865"
"309","2.710017"
"317","2.729326"
"325","2.74863"
"334","2.767817"
"342","2.786837"
"350","2.805683"
"359","2.824362"
"367","2.842864"
"375","2.861166"
"384","2.879251"
"392","2.897094"
"400","2.914654"
"409","2.931902"
"417","2.948821"
"425","2.965391"
"434","2.981583"
"442","2.997372"
"450","3.012753"
"459","3.027745"
"467","3.042363"
"475","3.056607"
"484","3.070511"
"492","3.084166"
"500","3.097681"
"509","3.111126"
"517","3.12448"
"526","3.137603"
"534","-3.132936"
"542","-3.121082"
"551","-3.11036"
"559","-3.101067"
"567","-3.093407"
"576","-3.087478"
"584","-3.083292"
"592","-3.080787"
"601","-3.079866"
"609","-3.080435"
"617","-3.082389"
"626","-3.085577"
"634","-3.089803"
"642","-3.094883"
"651","-3.100672"
"659","-3.10705"
"667","-3.11391"
"676","-3.121183"
"684","-3.128877"
"692","-3.137105"
"701","3.137108"
"709","3.127138"
"717","3.115924"
"726","3.103257"
"734","3.088999"
"742","3.073127"
"751","3.055731"
"759","3.036963"
"767","3.016958"
"776","2.995751"
"784","2.973257"
"792","2.949299"
"801","2.923687"
"809","2.896254"
"817","2.866851"
"826","2.835346"
"834","2.801656"
"843","2.765776"
"851","2.727794"
"859","2.687886"
"868","2.646303"
"876","2.603375"
"884","2.559523"
"893","2.515232"
"901","2.471004"
"909","2.427336"
"918","2.384594"
"926","2.342871"
"934","2.302072"
"943","2.262172"
"951","2.223312"
"959","2.185664"
"968","2.149347"
"976","2.114501"
"984","2.081314"
"993","2.049961"
"1001","2.020581"
"1009","1.993307"
"1018","1.96824"
"1026","1.945408"
"1034","1.924727"
"1043","1.906023"
"1051","1.889147"
"1059","1.874103"
"1068","1.861005"
"1076","1.849959"
"1084","1.841084"
"1093","1.834564"
"1101","1.830585"
"1109","1.82924"
"1118","1.830476"
"1126","1.834146"
"1134","1.840082"
"1143","1.848123"
"1151","1.858157"
"1159","1.870142"
"1168","1.884009"
"1176","1.899559"
"1185","1.916502"
"1193","1.934546"
"1201","1.953381"
"1210","1.972692"
"1218","1.992221"
"1226","2.011724"
"1235","2.030851"
"1243","2.049172"
"1251","2.06633"
"1260","2.082131"
"1268","2.096558"
"1276","2.109763"
"1285","2.122024"
"1293","2.133581"
"1301","2.144388"
"1310","2.153867"
"1318","2.16081"
"1326","2.16376"
"1335","2.162072"
"1343","2.156568"
"1351","2.148084"
