Time (ms),Angle 1
0,2.253581
8,2.245734
17,2.23751
25,2.230124
33,2.22526
42,2.223203
50,2.222763
58,2.222604
67,2.222295
75,2.222231
83,2.222892
92,2.224379
100,2.226473
108,2.228784
117,2.230873
125,2.232471
133,2.233671
142,2.234927
150,2.236777
158,2.239533
167,2.243232
175,2.24777
184,2.253046
192,2.259001
200,2.265585
209,2.272721
217,2.280321
225,2.288348
234,2.296788
242,2.305573
250,2.314613
259,2.323899
267,2.333503
275,2.343527
284,2.354027
292,2.364979
300,2.376321
309,2.388027
317,2.400118
325,2.412615
334,2.425493
342,2.438699
350,2.452202
359,2.46602
367,2.480198
375,2.494713
384,2.509372
392,2.523901
400,2.538139
409,2.552112
417,2.565953
425,2.579791
434,2.593659
442,2.607534
450,2.621456
459,2.635512
467,2.649734
475,2.664079
484,2.678439
492,2.692635
500,2.706463
509,2.719796
517,2.732623
526,2.744967
534,2.756763
542,2.767847
551,2.778089
559,2.7875
567,2.796218
576,2.804451
584,2.812376
592,2.820029
601,2.827301
609,2.833999
617,2.839893
626,2.844753
634,2.848446
642,2.851028
651,2.852756
659,2.853982
667,2.854968
676,2.855841
684,2.856709
692,2.857685
701,2.858794
709,2.860028
717,2.861471
726,2.863278
734,2.865556
742,2.868291
751,2.871376
759,2.874654
767,2.87792
776,2.880935
784,2.883504
792,2.885547
801,2.887077
809,2.888127
817,2.88872
826,2.888893
834,2.888667
843,2.887998
851,2.886765
859,2.884751
868,2.881675
876,2.87728
884,2.87142
893,2.864009
901,2.854958
909,2.844168
918,2.831534
926,2.816936
934,2.800336
943,2.781841
951,2.761718
959,2.740318
968,2.717823
976,2.693998
984,2.668251
993,2.64001
1001,2.60905
1009,2.57552
1018,2.539757
1026,2.502062
1034,2.462584
1043,2.421495
1051,2.379232
1059,2.336549
1068,2.294321
1076,2.253299
1084,2.213944
1093,2.176404
1101,2.140643
1109,2.106704
1118,2.074816
1126,2.045117
1134,2.017303
1143,1.990759
1151,1.964985
1159,1.939905
1168,1.915912
1176,1.893554
1185,1.87311
1193,1.854584
1201,1.837895
1210,1.822918
1218,1.809583
1226,1.798014
1235,1.788354
1243,1.780525
1251,1.774417
1260,1.770162
1268,1.767981
1276,1.767847
1285,1.769477
1293,1.772557
1301,1.776931
1310,1.782759
1318,1.790484
1326,1.800411
1335,1.812354
1343,1.825945
1351,1.841158
1360,1.858244
1368,1.877316
1376,1.898238
1385,1.920696
1393,1.944337
1401,1.968941
1410,1.994319
1418,2.020217
1426,2.046459
1435,2.073102
1443,2.100332
1451,2.128168
1460,2.156325
1468,2.184118
1476,2.210336
1485,2.233588
1493,2.253217
1502,2.270186
