"Time (ms)","Angle 1"
"0","-2.149603"
"8","-2.14817"
"17","-2.1466"
"25","-2.145063"
"33","-2.143824"
"42","-2.143128"
"50","-2.143214"
"58","-2.144262"
"67","-2.146258"
"75","-2.148973"
"83","-2.152177"
"92","-2.155813"
"100","-2.159916"
"108","-2.16452"
"117","-2.169671"
"125","-2.175417"
"133","-2.181835"
"142","-2.18899"
"150","-2.196809"
"158","-2.20512"
"167","-2.21383"
"175","-2.222946"
"184","-2.232438"
"192","-2.242192"
"200","-2.252091"
"209","-2.262094"
"217","-2.272213"
"225","-2.282478"
"234","-2.292891"
"242","-2.303403"
"250","-2.313952"
"259","-2.324537"
"267","-2.33521"
"275","-2.346027"
"284","-2.357067"
"292","-2.368462"
"300","-2.380318"
"309","-2.392634"
"317","-2.405328"
"325","-2.418253"
"334","-2.431175"
"342","-2.443867"
"350","-2.456274"
"359","-2.468535"
"367","-2.480855"
"375","-2.493319"
"384","-2.505836"
"392","-2.518278"
"400","-2.530578"
"409","-2.542657"
"417","-2.554403"
"425","-2.565785"
"434","-2.57687"
"442","-2.587698"
"450","-2.598207"
"459","-2.608316"
"467","-2.617968"
"475","-2.627108"
"484","-2.635769"
"492","-2.644203"
"500","-2.652711"
"509","-2.661362"
"517","-2.669999"
"526","-2.678437"
"534","-2.686538"
"542","-2.694182"
"551","-2.701283"
"559","-2.70789"
"567","-2.714149"
"576","-2.72012"
"584","-2.725691"
"592","-2.730731"
"601","-2.735244"
"609","-2.739327"
"617","-2.743081"
"626","-2.74663"
"634","-2.750132"
"642","-2.753743"
"651","-2.75764"
"659","-2.761967"
"667","-2.76669"
"676","-2.771598"
"684","-2.776391"
"692","-2.78067"
"701","-2.78403"
"709","-2.786283"
"717","-2.787488"
"726","-2.78784"
"734","-2.787658"
"742","-2.787363"
"751","-2.787297"
"759","-2.787542"
"767","-2.787929"
"776","-2.788252"
"784","-2.788373"
"792","-2.788108"
"801","-2.787096"
"809","-2.784922"
"817","-2.78133"
"826","-2.776278"
"834","-2.769836"
"843","-2.762104"
"851","-2.753185"
"859","-2.743108"
"868","-2.731698"
"876","-2.718571"
"884","-2.703379"
"893","-2.686131"
"901","-2.66729"
"909","-2.647591"
"918","-2.627777"
"926","-2.60836"
"934","-2.589447"
"943","-2.570781"
"951","-2.552025"
"959","-2.532992"
"968","-2.513651"
"976","-2.494067"
"984","-2.474362"
"993","-2.454607"
"1001","-2.434695"
"1009","-2.414348"
"1018","-2.393332"
"1026","-2.371727"
"1034","-2.349898"
"1043","-2.328251"
"1051","-2.307075"
"1059","-2.286524"
"1068","-2.266593"
"1076","-2.247111"
"1084","-2.227928"
"1093","-2.209065"
"1101","-2.190603"
"1109","-2.172541"
"1118","-2.154886"
"1126","-2.13775"
"1134","-2.121335"
"1143","-2.10589"
"1151","-2.091638"
"1159","-2.07866"
"1168","-2.066979"
"1176","-2.056699"
"1185","-2.047907"
"1193","-2.040466"
"1201","-2.034066"
"1210","-2.028514"
"1218","-2.023901"
"1226","-2.020501"
"1235","-2.018596"
"1243","-2.018401"
"1251","-2.020035"
"1260","-2.02355"
"1268","-2.028918"
"1276","-2.035979"
"1285","-2.044375"
"1293","-2.053544"
"1301","-2.062861"
"1310","-2.071774"
