"Time (ms)","Angle 1"
"0","2.3935"
"8","2.391111"
"17","2.387232"
"25","2.381917"
"33","2.376377"
"42","2.371831"
"50","2.368825"
"58","2.367317"
"67","2.367118"
"75","2.368159"
"83","2.370418"
"92","2.373719"
"100","2.377677"
"108","2.381834"
"117","2.385931"
"125","2.390096"
"133","2.394743"
"142","2.400311"
"150","2.407068"
"158","2.415027"
"167","2.423989"
"175","2.433679"
"184","2.443826"
"192","2.454156"
"200","2.464411"
"209","2.474455"
"217","2.484389"
"225","2.494484"
"234","2.504966"
"242","2.515943"
"250","2.527477"
"259","2.539574"
"267","2.55212"
"275","2.564971"
"284","2.578111"
"292","2.591667"
"300","2.605794"
"309","2.620553"
"317","2.635892"
"325","2.651648"
"334","2.667469"
"342","2.682963"
"350","2.697958"
"359","2.71255"
"367","2.726971"
"375","2.741498"
"384","2.756367"
"392","2.771693"
"400","2.787424"
"409","2.803359"
"417","2.819254"
"425","2.834945"
"434","2.850371"
"442","2.865558"
"450","2.880574"
"459","2.895455"
"467","2.910183"
"475","2.924707"
"484","2.938885"
"492","2.95249"
"500","2.965317"
"509","2.97723"
"517","2.988202"
"526","2.998322"
"534","3.007679"
"542","3.016244"
"551","3.023884"
"559","3.030503"
"567","3.036178"
"576","3.041069"
"584","3.045227"
"592","3.04858"
"601","3.050997"
"609","3.052366"
"617","3.052685"
"626","3.052038"
"634","3.050519"
"642","3.04823"
"651","3.045295"
"659","3.041883"
"667","3.038205"
"676","3.034464"
"684","3.03071"
"692","3.026732"
"701","3.02218"
"709","3.01685"
"717","3.010752"
"726","3.003998"
"734","2.996771"
"742","2.989327"
"751","2.981835"
"759","2.974286"
"767","2.966531"
"776","2.958355"
"784","2.949634"
"792","2.940486"
"801","2.931164"
"809","2.921768"
"817","2.912163"
"826","2.902131"
"834","2.891473"
"843","2.879896"
"851","2.866802"
"859","2.851238"
"868","2.831989"
"876","2.807609"
"884","2.776554"
"893","2.737884"
"901","2.692061"
"909","2.640934"
"918","2.586983"
"926","2.532544"
"934","2.479277"
"943","2.427891"
"951","2.378251"
"959","2.329846"
"968","2.282253"
"976","2.235394"
"984","2.189654"
"993","2.145696"
"1001","2.104039"
"1009","2.064874"
"1018","2.028258"
"1026","1.994407"
"1034","1.963692"
"1043","1.936383"
"1051","1.912468"
"1059","1.891724"
"1068","1.873931"
"1076","1.858963"
"1084","1.846785"
"1093","1.83751"
"1101","1.831413"
"1109","1.828809"
"1118","1.829971"
"1126","1.83506"
"1134","1.843861"
"1143","1.855474"
"1151","1.868425"
"1159","1.880957"
"1168","1.891436"
"1176","1.899693"
"1185","1.90851"
"1193","1.922195"
"1201","1.943049"
"1210","1.97026"
"1218","2.001656"
"1226","2.035416"
"1235","2.070778"
"1243","2.108392"
"1251","2.150401"
"1260","2.1995"
"1268","2.255751"
"1276","2.313193"
"1285","2.362153"
"1293","2.396111"
"1301","2.41446"
"1310","2.420506"
"1318","2.419834"
